query	12	87.716	464	6526	6980	1410417	1410874	1.31e-146	527
query	12	87.284	464	18849	19303	1410417	1410874	2.83e-143	516
query	12	77.301	163	10303	10459	3304648	3304808	7.31e-15	89.8
query	12	80.672	119	10364	10479	12579824	12579939	2.63e-14	87.9
query	12	84.416	77	9436	9507	15748048	15748123	2.65e-09	71.3
query	12	95.122	41	9468	9508	4971757	4971717	1.23e-07	65.8
query	12	95.122	41	9468	9508	9951518	9951558	1.23e-07	65.8
query	12	95.000	40	20186	20225	14951845	14951806	4.43e-07	63.9
query	12	97.297	37	20185	20221	15087074	15087038	4.43e-07	63.9
query	12	100.000	34	20186	20219	15939685	15939718	4.43e-07	63.9
query	12	94.872	39	9470	9508	13436431	13436469	1.59e-06	62.1
query	12	82.192	73	9438	9507	6780816	6780888	5.73e-06	60.2
query	12	97.222	36	20186	20221	14120350	14120316	5.73e-06	60.2
query	11	87.146	459	6528	6980	1337045	1337497	1.32e-141	510
query	11	86.710	459	18851	19303	1337045	1337497	2.85e-138	499
query	11	97.872	47	6784	6830	11047274	11047228	1.22e-12	82.4
query	11	85.526	76	9435	9507	5724168	5724096	2.05e-10	75.0
query	11	85.333	75	9436	9508	9251371	9251444	2.05e-10	75.0
query	11	95.556	45	9468	9512	1229260	1229216	7.36e-10	73.1
query	11	82.667	75	9437	9508	8179023	8178949	4.43e-07	63.9
query	11	95.000	40	20186	20225	7175113	7175151	1.59e-06	62.1
query	11	81.250	80	9436	9512	7325062	7325141	1.59e-06	62.1
query	11	97.222	36	20186	20221	10376354	10376319	1.59e-06	62.1
query	11	94.737	38	9470	9507	6167393	6167356	5.73e-06	60.2
query	11	88.235	51	9466	9516	11887782	11887734	5.73e-06	60.2
query	3	87.872	437	6554	6980	8060857	8061292	2.20e-139	503
query	3	87.215	438	18877	19303	8060857	8061292	2.22e-134	486
query	3	79.592	147	10314	10453	13146077	13146220	4.37e-17	97.1
query	3	97.674	43	24352	24394	2789323	2789365	2.05e-10	75.0
query	3	84.211	76	9436	9508	13921452	13921524	9.52e-09	69.4
query	3	83.784	74	9438	9507	17274635	17274563	1.23e-07	65.8
query	3	100.000	33	20189	20221	21818619	21818651	1.59e-06	62.1
query	3	97.222	36	20186	20221	27914112	27914147	1.59e-06	62.1
query	6	80.153	131	10297	10422	10230106	10230235	5.65e-16	93.5
query	7	76.875	160	10302	10453	4171997	4172152	4.40e-12	80.5
query	7	95.000	40	9469	9508	19214632	19214671	4.43e-07	63.9
query	7	94.737	38	9470	9507	8096182	8096219	5.73e-06	60.2
query	10	84.416	77	9435	9507	8809435	8809511	7.36e-10	73.1
query	10	83.951	81	24256	24336	10636542	10636617	7.36e-10	73.1
query	10	84.722	72	9438	9507	1725133	1725202	9.52e-09	69.4
query	10	83.562	73	9438	9508	91509	91581	3.43e-08	67.6
query	10	93.333	45	9469	9513	3079206	3079250	3.43e-08	67.6
query	10	83.117	77	9436	9507	4905844	4905920	1.23e-07	65.8
query	10	81.481	81	9436	9512	5521251	5521331	4.43e-07	63.9
query	10	95.000	40	9469	9508	7315418	7315457	4.43e-07	63.9
query	10	97.222	36	20186	20221	12896015	12896050	1.59e-06	62.1
query	9	84.211	76	9436	9507	4669794	4669869	2.65e-09	71.3
query	9	84.211	76	9436	9508	768624	768696	9.52e-09	69.4
query	9	83.562	73	9437	9507	2326967	2326896	1.23e-07	65.8
query	9	81.579	76	9436	9508	3901648	3901723	5.73e-06	60.2
query	4	82.500	80	9436	9512	1879990	1880069	3.43e-08	67.6
query	4	95.238	42	9469	9510	13409269	13409310	3.43e-08	67.6
query	4	82.895	76	9435	9507	4624989	4624914	1.23e-07	65.8
query	4	97.297	37	20186	20222	1122763	1122799	4.43e-07	63.9
query	4	100.000	33	20186	20218	9668920	9668888	1.59e-06	62.1
query	4	95.000	40	20186	20225	17041391	17041353	1.59e-06	62.1
query	2	83.117	77	9436	9508	10851359	10851435	3.43e-08	67.6
query	2	100.000	36	20186	20221	15838124	15838089	3.43e-08	67.6
query	2	97.297	37	20186	20222	20542892	20542856	4.43e-07	63.9
query	2	95.000	40	20186	20224	20707719	20707758	1.59e-06	62.1
